,,,,,HACKING PRICE LIST,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Service_ID,OLD ID,Service_Status,Service_Category,Sub_Category,Property_Type,Property_Status,Property_Room,Area,Name,Includes,Quantity,Unit,Price,Wastage,Competitor Price (1.4X),Description of work,Addon_ID,
,010111,new,Hacking,,Condo,"new , resale",All,"Bedroom, Study Room",Supply Labour To Hack Vinyl Flooring In 1x Room (Condo),,1,Package,300,,600,To hack all wall tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,010112,new,Hacking,,Condo,"new , resale",All,Foyer / Living / Dining ,Supply Labour To Hack Vinyl Flooring At Living Area (Condo),,1,Package,800,,600,To hack all wall tiles at balcony area. Includes the haulage of tiles & clearing of debris for this area only. ,,
,,,,,,,,,,,,,,,,,,
,010085,new,Hacking,"- Protection
- Haulage (Bring up wet work materials)
- Clearing of debris (clear rubbish)

note: this service is under three sub cats",Landed,"new , resale",All,All,"Supply & Lay Corrugated Paper (Single Layer) as Floor Protection (1 round only)
> Includes: Haulage of New & Raw Materials
> Includes: Clearing of Debris (up to 2 trips only)",,1,Package,850,,1200,Lay corrugated paper to protect existing flooring or new floorings. Includes haulage & clearing of debris.,,
,010050,new,Hacking,Protection,Landed,"new , resale",All,All,Washing & Protection Paper Package (Landed) (Quote Upon Site Visit) ,,1,Package,0,,,Includes 1x Haulage For Clearing Of Rubbish,,
,010078,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack Floor & Wall Tiles In Whole House (Landed) (Quote Upon Site Visit) ,,1,Package,0,,0,"To hack all floor & wall tiles for whole house. Includes haulage, clearing of debris, dismantling of kitchen cabinets, dismantling doors, and other smaller items which you need help in removing. For bigger built-in furnitures, additional costs may incur. ",,
,010082,new,Hacking,,Landed,"new , resale",All,All,Supply Labour To Hack Wall & Floor Finishes In Kitchen (Landed) (Quote Upon Site Visit) ,,1,Package,0,,0,"To hack all floor & wall tiles for whole house. Includes haulage, clearing of debris, dismantling of kitchen cabinets, dismantling doors, and other smaller items which you need help in removing. For bigger built-in furnitures, additional costs may incur. ",,
,010051,new,Hacking,,Landed,Resale,All,All,Small Hacking Package For Landed (Removal Of Up To 3x Wardrobes And/Or Carpentry Fixtures),,1,Package,600,,900,"Includes removal of all window grilles. Excludes dismantling of kitchen cabinetry. 
",,
,010052,new,Hacking,,Landed,Resale,All,All,Medium Hacking Package For Landed (Removal Of Up To 5x Wardrobes And/Or Carpentry Fixtures) ,,1,Package,1000,,1400,"Includes removal of all window grilles. Excludes dismantling of kitchen cabinetry. 
",,
,010053,new,Hacking,,Landed,Resale,All,All,Large Hacking Package For Landed (Removal Of Up To 10x Wardrobes And/Or Carpentry Fixtures),,1,Package,2400,,3400,Includes removal of all window grilles & kitchen cabinetry. ,,
